user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
008UN2RY0DMY,cd10940538005,1541031243,1,search for destination,"Rochester, USA",US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031463,2,change of sort order,interaction sort button,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031473,3,change of sort order,distance and recommended,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031473,4,filter selection,Focus on Distance,US,"Rochester, USA",desktop,Focus on Distance,,
008UN2RY0DMY,cd10940538005,1541031550,5,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031550,6,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031560,7,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031560,8,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031570,9,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031570,10,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031570,11,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031570,12,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031570,13,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031580,14,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031580,15,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031580,16,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031580,17,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031590,18,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031590,19,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031590,20,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031590,21,interaction item image,57103,US,"Rochester, USA",desktop,,,
008UN2RY0DMY,cd10940538005,1541031632,22,interaction item info,57103,US,"Rochester, USA",desktop,,,
01R92KASN25O,62991f7c78f27,1541055645,1,interaction item image,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055645,2,interaction item image,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055645,3,interaction item image,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055645,4,interaction item deals,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055645,5,interaction item deals,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055645,6,interaction item deals,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055664,7,interaction item deals,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055672,8,clickout item,7818446,DE,"Luebeck, Germany",mobile,,7818446|51315|2133708|119638|86359|133581|6688860|1622273|429486|1384302|16652|52786|2448490|1017368|51416|53677|3368402|9734016|149166|18337|16660|5105382|52980|52220|569711,163|75|93|98|169|201|129|117|108|170|133|80|87|181|124|114|89|84|90|134|219|112|95|132|107
01R92KASN25O,62991f7c78f27,1541055675,9,interaction item image,7818446,DE,"Luebeck, Germany",mobile,,,
01R92KASN25O,62991f7c78f27,1541055675,10,interaction item image,7818446,DE,"Luebeck, Germany",mobile,,,
032W52V15J3A,e84393cf62d13,1541102397,1,interaction item image,2099360,HR,"Cancun, Mexico",mobile,,,
032W52V15J3A,e84393cf62d13,1541102397,2,interaction item image,2099360,HR,"Cancun, Mexico",mobile,,,
032W52V15J3A,e84393cf62d13,1541102589,3,interaction item image,929533,HR,"Cancun, Mexico",mobile,,,
032W52V15J3A,e84393cf62d13,1541102589,4,interaction item image,929533,HR,"Cancun, Mexico",mobile,,,
032W52V15J3A,e84393cf62d13,1541102600,5,interaction item image,929533,HR,"Cancun, Mexico",mobile,,,
